Egsmith Waltditch Wenside Alfchester Wenside Burbourne Wenside Whittree Stainby Wychbourne Cookford Chelmbeck Cookford Farnsmith Wychsmith Chelmwang Wychsmith Wetwick Sudwich Ashbourne Barnton Ashbourne Stapbeck Sudwell Brackbrough Wenbeck Shaftsted Egtree Chelmden Egtree Stainbrough Blanworth Durnell Burfield Shaftbridge Penborne Staplake Edgey Shaftbage Ashdown Shaftbage Egavon Wychbourne Barnton Egsmith
24
Chelmden Wychnell Chelmden Egtree
Stainbrough Stainbrough Nortley
Burbourne Burbourne Leathermere
Penborne Staplake Shaftbridge Penborne Wychbeck
Wenbeck Wenbeck Brackbrough Pemlow
Stainby Stainby Wenwold Flitgrove Sudtree
Shaftbridge Wywick
Stapbeck Stapbeck
Wenside Wenside
Wychbourne Wychbourne
Wetwick Wetwick
Farnsmith Farnsmith
Cookford Cookford
Wychsmith Wychsmith
Ashbourne Ashbourne
Chelmwang Chelmwang
Alfchester Alfchester
Edgey Edgey
Ashdown Ashdown
Waltditch Waltditch
Chelmbeck Chelmbeck
Shaftbage Shaftbage
Egavon Egavon
Barnton Barnton
