FD AU BG DI GP DF GA CL BC GQ FP EL FP BE EJ DC BC DZ DM AC FU CK DP GK AF GO HB HD AW AG CU CS GD ES EM AV EQ AT HO EM GS GX FS DQ CE AX AJ DB HP CI GF CW FM HF GC HF FI BK AM DK AD BZ AK HR FX EO ED DH ED GZ FR BQ EW GM ET AA FT BM HQ EX DS EK FO EK CO CB EN FV EN CF DN ER DA HM FY EZ FY HM FN HM EG BF DV HC FJ EY GR FB CT FT GN BA GN CC HH HA CG AZ FD
92
HH GK BO DU BT HH CG EE
HA DE
AG BN CA BV AG
DB DB
GC GC
FJ FJ
EZ EZ
FO FO
FR FR
CC CC
AV AV
AX AX
CT CT
BZ BZ
HC HC
EL EL
FT FT
DP DP
ET ET
FM FM
BQ BQ
CW CW
HP HP
DC DC
BF BF
CU CU
GS GS
EG EG
DM DM
GZ GZ
GO GO
HB HB
FS FS
BK BK
FI FI
HF HF
AU AU
AK AK
EK EK
GP GP
AF AF
DF DF
FV FV
CL CL
AM AM
EM EM
EJ EJ
ES ES
GD GD
GR GR
AW AW
DA DA
AJ AJ
CS CS
CO CO
DN DN
FY FY
AZ AZ
AD AD
BC BC
DQ DQ
DI DI
GX GX
GQ GQ
DK DK
EO EO
EY EY
ER ER
DZ DZ
BA BA
HD HD
BM BM
DH DH
EX EX
GN GN
AT AT
CB CB
BG BG
FN FN
CI CI
GA GA
CF CF
EW EW
HR HR
BE BE
FU FU
EN EN
CK CK
GF GF
HO HO
FP FP
AA AA
